OBJECTID,FID,id,lat,long,cbsaName,cbsaGUID,plantId,tabID,panelID,panelNumbe,hoverText,heading,weeklyImpr,productTyp,POINT_X,POINT_Y
79,107359,436537,40.6983,-73.81485,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30496272,523632,5050,VAN WYCK EXPWY WL 5F N OF ATLANTIC AVE,N,692014,BULLETINS,-8217031.515,4967942.317
80,108026,442722,40.65329,-73.89802,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30635740,523647,40865,STANLEY AVENUE  NL 100F W OF SNEDIKER AVENUE,E,20047,JR POSTERS,-8226289.957,4961335.742
81,108912,444449,40.64628,-74.08937,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30496369,529226,460,RICHMOND TERRACE  SL 75F W OF YORK AVENUE,W,53909,POSTERS,-8247590.942,4960307.214
82,164557,748773,40.728173,-73.907071,,,96453,0,1161661,5082,Long Island Expwy .8mi W/O BQE,W,0,BULLETINS,-8227297.51,4972329.545
83,107103,552329,40.82677,-73.91238,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,481000,503672,337,MELROSE AVENUE  EL 400F N OF E 163RD STREET,W,42826,POSTERS,-8227888.505,4986823.758
84,120216,693567,40.636974,-73.9363,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30657971,1024748,1773,FARRAGUT ROAD SL 75F W OF E 43RD STREET,E,24159,POSTERS,-8230551.267,4958941.978
85,107344,436514,40.861849,-73.897239,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,481446,504189,7020,GRAND CONCOURSE  EL 250F S OF E FORDHAM ROAD,S,164320,BULLETINS,-8226203.017,4991985.729
86,118282,681879,40.763771,-73.997383,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30650818,1009649,1574,W 46TH ST  SL 150F E OF WESTSIDE HIGHWAY,W,173786,POSTERS,-8237350.996,4977560.134
87,108914,444384,40.6346,-74.08501,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30496367,529228,458,VICTORY BOULEVARD  EL 200F N OF CEBRA AVENUE,N,42515,POSTERS,-8247105.589,4958593.731
88,106591,435600,40.698106,-73.785706,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,480683,502776,947,MERRICK BOULEVARD  EL 5F N OF 169TH PLACE,S,84244,POSTERS,-8213787.22,4967913.832
89,107101,514188,40.84663,-73.8452,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,480830,503652,311,EASTCHESTER ROAD  WL 50F S OF BASSETT AVENUE,S,44287,POSTERS,-8220410.062,4989745.876
90,119482,684485,40.839272,-73.877167,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30650897,1013656,70595,WYATT STREET NL 50F E OF DEVOE AVENUE,W,17856,JR POSTERS,-8223968.612,4988663.148
91,107607,436813,40.642,-73.95775,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,480576,526697,598,FLATBUSH AVENUE  WL 5F S OF DORCHESTER ROAD,S,135014,POSTERS,-8232939.07,4959679.293
92,107127,436241,40.83863,-73.88608,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,480897,503770,208,BOSTON ROAD EL 100F S OF VYSE AVENUE,N,32779,POSTERS,-8224960.802,4988568.684
93,108081,443740,40.767821,-73.907386,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,479485,525223,20017,44TH STREET  EL 200F S OF ASTORIA BOULEVARD,N,30973,JR POSTERS,-8227332.575,4978155.398
94,143599,732231,40.64403,-73.929596,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30849152,1119345,41063,UTICA AVENUE  EL 150F S OF CLARENDON ROAD,N,50408,JR POSTERS,-8229804.981,4959977.111
95,108095,443789,40.6327,-74.07577,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,482980,525311,90000,BAY STREET WL 100F S OF GRANT STREET,S,39931,JR POSTERS,-8246076.997,4958315.024
96,106572,435584,40.72988,-73.8873,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,481210,502754,897,GRAND AVENUE WL 250F N OF 74TH STREET,N,34723,POSTERS,-8225096.612,4972580.299
